Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Advocacy and Policy Support,Public,Negotiating/Contracting,3/26/2024,Dollor,53360.60099,72016.2864,ORE-Thematic,ACT-A/COVAX Pillar 2 - Therapeutics,Emergency Response,HAC-STATE OF PALESTINE,,C,24303.17563,,,Austria,,,,56541.55719,7662321,Corporate Foundation,Private Sector,,TAJIKISTAN CO,WCARO,Denmark,,,ECARO,3/26/2024,CROATIA CO,The United Kingdom,AUT,Austria,C,Private,Other Resources Regular,ADAP,R1,Connecting,ECA,2024,Public
Advocacy and Policy Support,Public,Secured/Won,3/11/2024,Dollor,19630.10265,61813.03856,ORE-Thematic,"Cross-sectoral monitoring, data and situation analyses",Child Protection,HAC-ARMENIA,,ECHO,85785.77209,,,Azerbaijan,,,,42327.17729,15627288,UN Agency/International Agency,Private Sector,,INNOVATION UNIT,HQ,France,,,ESARO,3/11/2024,PPD,Unilever,AZE,Azerbaijan,ECHO,Bilateral,Other Resources Regular,Health,R4,Thriving,ECA,2023,Public
Partnership Funding,Private,Secured/Won,5/29/2024,Dollor,33000.16716,84853.1582,ORR Non-Thematic,Technical leadership for programme outcomes,Increased Immunization Rates,Ukraine Response,,EU ECHO,89077.12237,,,Bahamas,,,,15128.74834,6841835,Membership based organizations,Public Sector,,ALBANIA CO,MENARO,Ukraine,,,ESARO,5/29/2024,TURKIYE NATCOM,Bureau for Humanitarian Assistance,BHS,Bahamas,EU ECHO,Bilateral,Other Resources Regular,CP,R3,Learning,LACRO,2023,Public
Humanitarian Funding,Private,Secured/Won,9/5/2024,Dollor,37209.58103,50592.05185,Revenue Type,Staff and premises security,Emergency Response,HAC-ECARO,,ECHO,94696.69135,,,Bahrain,,,,45282.52635,14153727,Foundation,Public Sector,,TURKIYE CO,MENARO,Armenia,,,NatCom,9/5/2024,ECARO,European Investment Bank,BHR,Bahrain,ECHO,Private,Other Resources Emergency,Health,R1,Learning,MENA,2024,Public
Partnership Funding,Private,Initial Meetings,10/20/2024,Dollor,76260.61718,83572.46402,ORE-Thematic,PFP,Child Protection,HAC-ARMENIA,,Natcom d,99154.75239,,,Bangladesh,,,,83831.9132,17176434,Foundation,Private Sector,,KYRGYZSTAN CO,MENARO,Greece,,,HQ,10/20/2024,SOMALIA CO,Bureau for Humanitarian Assistance,BGD,Bangladesh,Natcom d,Bilateral,Other Resources Emergency,Child Protection,R2,Including,ROSA,2023,Public
Country Programmes,Public,Negotiating/Contracting,7/7/2024,Dollor,69189.56324,41628.33434,ORE-Thematic,Gender Equality General,Education,HAC-ARMENIA,,EU ECHO,4073.268303,,,Barbados,,,,37492.03564,15509882,Foundation,Public Sector,,NETHERLANDS NATCOM,ROSA,Bulgaria,,,ECARO,7/7/2024,BULGARIA CO,European Investment Bank,BRB,Barbados,EU ECHO,EU,Other Resources Emergency,Health,R5,Learning,LACRO,2024,Public
Humanitarian Funding,Private,Secured/Won,7/6/2024,Dollor,17302.25143,11871.80684,Revenue Type,PFP,Child Protection,Ukraine Response,,Natcom A,78766.44335,,,Belarus,,,,43776.59692,7202560,Foundation,Private Sector,,TAJIKISTAN CO,ROSA,Netherlands,,,NatCom,7/6/2024,ROMANIA CO,World Bank - Washington D.C.,BLR,Belarus,Natcom A,Private,Other Resources Emergency,Child Protection,R5,Learning,ECA,2023,Public
Advocacy and Policy Support,Public,Secured/Won,10/6/2024,Dollor,20524.86609,52934.55494,ORE-Thematic,Emergencies,Health,Ukraine Response,,ECHO,81138.37638,,,Belgium,,,,77305.647,19987971,Corporate Foundation,Public Sector,,ARMENIA CO,NatCom,Moldova,,,ECARO,10/6/2024,CROATIA CO,European Investment Bank,BEL,Belgium,ECHO,EU,Other Resources Regular,WASH,R2,Learning,ECA,2024,Public
Development Initiatives,Private,Negotiating/Contracting,2/5/2024,Dollor,93924.90675,35867.3893,ORE-Thematic,Community-based management of acute malnutrition,Emergency Response,HAC-UKRAINE,,Natcom c,73890.46855,,,Belize,,,,27749.1835,484729,Governmental Organization,UNICEF NatCom/CO/Division,,UKRAINE CO,ROSA,France,,,HQ,2/5/2024,US FUND,World Bank - Washington D.C.,BLZ,Belize,Natcom c,Private,Other Resources Emergency,ADAP,R4,Protecting,LACRO,2024,Public
Humanitarian Funding,Private,Initial Meetings,2/11/2024,Dollor,71169.36692,43105.64802,ORR Non-Thematic,Supplies in support of programme results,Emergency Response,HAC-UKRAINE,,G,30701.30127,,,Benin,,,,49087.06105,8497519,Sport Associations,Private Sector,,BELARUS CO,ROSA,Denmark,,,NatCom,2/11/2024,ECARO,The United Kingdom,BEN,Benin,G,Private,Other Resources Emergency,Education,R3,Thriving,SSA,2023,Public
Country Programmes,Public,Initial Meetings,10/11/2024,Dollor,73352.2313,20812.09513,Revenue Type,Social protection and child poverty,Education,HAC-UKRAINE,,ECHO,92356.67062,,,Bhutan,,,,54974.69541,21170815,Ministry,Public Sector,,QATAR CO,EAPRO,Cyprus,,,HQ,10/11/2024,UKRAINE CO,Unilever,BTN,Bhutan,ECHO,Bilateral,Other Resources Emergency,Health,R1,Protecting,ROSA,2023,Public
Emergency Response,Public,Initial Meetings,1/14/2024,Dollor,12878.67249,6310.306566,ORR Non-Thematic,Cross-sectoral planning and programme reviews,Health,HAC-UKRAINE,,Natcom A,59590.61448,,,Bolivia (Plurinational State of),,,,69504.93422,30863425,Corporate,Private Sector,,TAJIKISTAN CO,ROSA,Ukraine,,,NatCom,1/14/2024,SERBIA CO,African Development Bank (AfDB),BOL,Bolivia (Plurinational State of),Natcom A,EU,Other Resources Regular,ADAP,R3,Learning,LACRO,2024,Public
Emergency Response,Public,Initial Meetings,6/8/2024,Dollor,90805.95273,99573.58497,Revenue Type,Other – including procurement services,Increased Immunization Rates,Ukraine Response,,Natcom A,60672.71947,,,Bosnia and Herzegovina,,,,45332.03399,27697073,Women's and diaspora organizations,Corporate Account,,MOLDOVA CO,HQ,France,,,NatCom,6/8/2024,KYRGYZSTAN CO,Bureau for Humanitarian Assistance,BIH,Bosnia and Herzegovina,Natcom A,Bilateral,Other Resources Emergency,ADAP,R3,Thriving,ECA,2024,Public
Partnership Funding,Private,Negotiating/Contracting,2/3/2024,Dollor,31344.13105,34557.17771,ORE-Thematic,"Financial, information and communication technology and administrative managemen",Increased Immunization Rates,Ukraine Response,,Natcom d,89589.28186,,,Botswana,,,,10453.71795,5164563,Other,Public Sector,,KOSOVO CO,ROSA,Russian Federation,,,MENARO,2/3/2024,TURKIYE CO,African Development Bank (AfDB),BWA,Botswana,Natcom d,EU,Other Resources Emergency,Child Protection,R2,Including,SSA,2024,Public
Partnership Funding,Private,Negotiating/Contracting,6/6/2024,Dollor,44019.99792,39163.46505,Revenue Type,Technical leadership for programme outcomes,Education,HAC-UKRAINE,,EU ECHO,84442.90663,,,Brazil,,,,39465.237,29852715,Foundation,Public Sector,,MONTENEGRO CO,HQ,Bulgaria,,,ESARO,6/6/2024,TURKIYE CO,European Investment Bank,BRA,Brazil,EU ECHO,Private,Other Resources Regular,CP,R5,Connecting,LACRO,2024,Public
Advocacy and Policy Support,Public,Initial Meetings,5/12/2024,Dollor,28719.83975,99234.75599,ORR Non-Thematic,Education – General,Advocacy,Ukraine Response,,Natcom A,62678.88153,,,British Virgin Islands,,,,82939.30179,3961433,Account Category,Private Sector,,INNOVATION UNIT,ROSA,Croatia,,,MENARO,5/12/2024,MONTENEGRO CO,Bureau for Humanitarian Assistance,VGB,British Virgin Islands,Natcom A,Bilateral,Other Resources Emergency,Health,R2,Connecting,LACRO,2024,Public
Emergency Response,Public,Secured/Won,3/24/2024,Dollor,34505.81637,36466.06154,ORE-Thematic,Early Childhood Development,Education,HAC-UKRAINE,,ECHO,75085.93954,,,Brunei Darussalam,,,,87181.93764,3047735,IFI/RDB,Private Sector,,BELARUS CO,HQ,Belarus,,,MENARO,3/24/2024,LEBANON CO,European Investment Bank,BRN,Brunei Darussalam,ECHO,Private,Other Resources Regular,SP,R3,Thriving,EAPRO,2023,Public
Country Programmes,Public,Negotiating/Contracting,5/20/2024,Dollor,17466.24266,40272.21825,ORE-Thematic,Care and Treatment of Children affected by HIV and AIDS,Emergency Response,Ukraine Response,,ECHO,33992.684,,,Bulgaria,,,,79886.93021,21827154,Governmental Organization,Private Sector,,US FUND,NatCom,Montenegro,,,MENARO,5/20/2024,KYRGYZSTAN CO,European Investment Bank,BGR,Bulgaria,ECHO,EU,Other Resources Emergency,Health,R5,Protecting,ECA,2023,Public
Development Initiatives,Private,Negotiating/Contracting,8/29/2024,Dollor,4733.038361,45393.7802,Revenue Type,Child Protection – General,Child Protection,Ukraine Response,,Natcom A,31915.78352,,,Burkina Faso,,,,54392.44483,22897396,Central Government,Private Sector,,CROATIA CO,MENARO,Cyprus,,,ESARO,8/29/2024,PPD,Bureau for Humanitarian Assistance,BFA,Burkina Faso,Natcom A,Bilateral,Other Resources Regular,Education,R3,Learning,SSA,2024,Public
Partnership Funding,Private,Negotiating/Contracting,5/29/2024,Dollor,6663.682874,88037.39756,ORR Non-Thematic,Malaria,Emergency Response,Ukraine Response,,Natcom A,48229.97015,,,Burundi,,,,31166.61996,39891482,Membership based organizations,Private Sector,,MONTENEGRO CO,ROSA,United States,,,ESARO,5/29/2024,ALBANIA CO,African Development Bank (AfDB),BDI,Burundi,Natcom A,EU,Other Resources Regular,SP,R2,Protecting,SSA,2023,Public
Humanitarian Funding,Private,Secured/Won,9/4/2024,Dollor,18996.95468,89552.44631,ORR Non-Thematic,Adolescents and HIV/AIDS,Increased Immunization Rates,HAC-UKRAINE,,G,77058.45186,,,Cabo Verde,,,,12378.51109,20279622,Sport Associations,Private Sector,,BELARUS CO,MENARO,Croatia,,,ECARO,9/4/2024,ECARO,The United Kingdom,CPV,Cabo Verde,G,Private,Other Resources Emergency,Child Protection,R4,Learning,SSA,2022,Public
Partnership Funding,Private,Initial Meetings,12/1/2024,Dollor,6865.34393,36904.95734,ORE-Thematic,Hygiene,Child Protection,HAC-ARMENIA,,EU ECHO,82275.23945,,,Cambodia,,,,23304.78428,29985164,Corporate,UNICEF NatCom/CO/Division,,US FUND,EAPRO,Armenia,,,HQ,12/1/2024,CROATIA CO,European Investment Bank,KHM,Cambodia,EU ECHO,EU,Other Resources Emergency,CP,R5,Connecting,EAPRO,2024,Public
Development Initiatives,Private,Negotiating/Contracting,11/13/2024,Dollor,10570.21432,40293.43713,ORE-Thematic,Nutrition – Overweight & Obesity,Education,Emergency/HAC,,EU ECHO,59372.23023,,,Cameroon,,,,4396.413623,35200500,University/Education Org.,Private Sector,,KYRGYZSTAN CO,HQ,Russian Federation,,,NatCom,11/13/2024,UZBEKISTAN CO,European Investment Bank,CMR,Cameroon,EU ECHO,Private,Other Resources Regular,Education,R2,Including,SSA,2024,Public
Humanitarian Funding,Private,Initial Meetings,7/5/2024,Dollor,68815.04388,6358.240332,Revenue Type,Child Protection – strengthen families and communities,Health,HAC-ECARO,,Natcom c,16863.75652,,,Canada,,,,23752.91142,38735308,IFI/RDB,Private Sector,,KYRGYZSTAN CO,HQ,United States,,,ESARO,7/5/2024,BULGARIA CO,Bill & Melinda Gates Foundation,CAN,Canada,Natcom c,Bilateral,Other Resources Emergency,Child Protection,R1,Learning,NA,2024,Public
Country Programmes,Public,Secured/Won,9/8/2024,Dollor,99372.84216,17752.14418,ORE-Thematic,Nutrition and HIV,Increased Immunization Rates,Ukraine Response,,C,41476.27826,,,Central African Republic,,,,98034.22096,2748871,Foundation,Private Sector,,SERBIA CO,ROSA,Montenegro,,,MENARO,9/8/2024,SOMALIA CO,Unilever,CAF,Central African Republic,C,Bilateral,Other Resources Regular,WASH,R1,Connecting,SSA,2023,Public
Development Initiatives,Private,Negotiating/Contracting,10/22/2024,Dollor,42629.6028,17628.23314,ORE-Thematic,Malaria,Education,HAC-STATE OF PALESTINE,,Natcom A,98955.86553,,,Chad,,,,53055.28568,26478594,Corporate Foundation,Private Sector,,UZBEKISTAN CO,HQ,Uzbekistan,,,ESARO,10/22/2024,PPD,African Development Bank (AfDB),TCD,Chad,Natcom A,EU,Other Resources Regular,WASH,R3,Learning,SSA,2022,Public
Advocacy and Policy Support,Public,Negotiating/Contracting,4/12/2024,Dollor,26499.47677,39728.43339,Revenue Type,Sanitation,Education,HAC-ARMENIA,,C,36698.93921,,,Chile,,,,28668.29504,36475700,Country Office,UNICEF NatCom/CO/Division,,ROMANIA CO,WCARO,United States,,,HQ,4/12/2024,KYRGYZSTAN CO,Unilever,CHL,Chile,C,Bilateral,Other Resources Emergency,WASH,R5,Thriving,LACRO,2022,Public
Humanitarian Funding,Private,Secured/Won,1/14/2024,Dollor,19693.37626,98792.0766,Revenue Type,Saving lives and protecting rights in humanitarian situations,Emergency Response,HAC-UKRAINE,,Natcom d,11803.33147,,,China,,,,17321.15087,36118284,Corporate,Private Sector,,GEORGIA CO,EAPRO,Denmark,,,ECARO,1/14/2024,ARMENIA CO,Bureau for Humanitarian Assistance,CHN,China,Natcom d,Bilateral,Other Resources Regular,Health,R1,Including,EAPRO,2022,Public
Humanitarian Funding,Private,Negotiating/Contracting,10/1/2024,Dollor,20726.13962,38635.40229,ORE-Thematic,Birth registration,Increased Immunization Rates,Emergency/HAC,,EU ECHO,72258.40109,,,Colombia,,,,56115.42339,4683758,Foundation,Private Sector,,SERBIA CO,ROSA,Netherlands,,,ESARO,10/1/2024,UZBEKISTAN CO,European Investment Bank,COL,Colombia,EU ECHO,EU,Other Resources Regular,CP,R3,Including,LACRO,2022,Public
Advocacy and Policy Support,Public,Initial Meetings,10/15/2024,Dollor,82851.84103,22376.58893,Revenue Type,Adolescents and HIV/AIDS,Health,HAC-STATE OF PALESTINE,,G,6531.095041,,,Comoros,,,,475.7225557,6736650,Global/Regional Multilaterals,Private Sector,,ALBANIA CO,NatCom,Montenegro,,,ECARO,10/15/2024,GEORGIA CO,The United Kingdom,COM,Comoros,G,Private,Other Resources Emergency,SP,R4,Including,SSA,2022,Public
Advocacy and Policy Support,Public,Initial Meetings,8/23/2024,Dollor,58409.8202,68479.48917,ORR Non-Thematic,Infant and Young child feeding,Emergency Response,Emergency/HAC,,EU ECHO,92089.21389,,,Congo,,,,2751.585354,27913010,Governmental Organization,Private Sector,,ALBANIA CO,WCARO,Japan,,,MENARO,8/23/2024,ECARO,Bureau for Humanitarian Assistance,COG,Congo,EU ECHO,Bilateral,Other Resources Regular,SP,R4,Thriving,SSA,2023,Public
Emergency Response,Public,Secured/Won,9/1/2024,Dollor,42260.63737,59220.42068,Revenue Type,ACT-A/COVAX Pillar 2 - Therapeutics,Advocacy,Emergency/HAC,,Natcom d,93167.76273,,,Cook Islands,,,,92070.88305,24019617,Country Office,Public Sector,,GREECE CO,MENARO,Montenegro,,,HQ,9/1/2024,UKRAINE CO,African Development Bank (AfDB),COK,Cook Islands,Natcom d,EU,Other Resources Regular,Health,R5,Protecting,EAPRO,2023,Public
Partnership Funding,Private,Initial Meetings,4/5/2024,Dollor,64205.15056,15951.6,Revenue Type,Emergencies,Advocacy,HAC-ECARO,,EU ECHO,37552.41597,,,Costa Rica,,,,3003.971325,2336231,Central Government,Private Sector,,CHINA CO,ECARO,Montenegro,,,NatCom,4/5/2024,TAJIKISTAN CO,European Investment Bank,CRI,Costa Rica,EU ECHO,Private,Other Resources Emergency,CP,R3,Learning,LACRO,2022,Public
Humanitarian Funding,Private,Secured/Won,3/8/2024,Dollor,82420.81239,52442.13346,ORE-Thematic,Technical leadership for programme outcomes,Increased Immunization Rates,HAC-ECARO,,Natcom d,1659.026684,,,Côte d'Ivoire,,,,31069.9062,13190896,University/Education Org.,Private Sector,,KYRGYZSTAN CO,MENARO,United States,,,ESARO,3/8/2024,BULGARIA CO,World Bank - Washington D.C.,CIV,Côte d'Ivoire,Natcom d,Private,Other Resources Regular,Child Protection,R2,Including,SSA,2024,Public
Country Programmes,Public,Initial Meetings,4/9/2024,Dollor,54038.23216,97353.96916,ORR Non-Thematic,Equity – focus on girls’ and inclusive education,Education,Ukraine Response,,G,23557.98807,,,Croatia,,,,62313.80039,8839992,Account Category,Private Sector,,GEORGIA CO,EAPRO,Bulgaria,,,ECARO,4/9/2024,CROATIA CO,The United Kingdom,HRV,Croatia,G,Private,Other Resources Emergency,ADAP,R2,Protecting,ECA,2023,Public
Country Programmes,Public,Secured/Won,1/1/2024,Dollor,2291.30252,21830.9675,Revenue Type,Gender Equality General,Education,Ukraine Response,,Natcom c,11471.19493,,,Cuba,,,,87861.97842,11208354,Membership based organizations,UNICEF NatCom/CO/Division,,DENMARK NATCOM,NatCom,Switzerland,,,ECARO,1/1/2024,TURKIYE CO,African Development Bank (AfDB),CUB,Cuba,Natcom c,EU,Other Resources Emergency,CP,R1,Thriving,LACRO,2022,Public
Emergency Response,Public,Initial Meetings,9/7/2024,Dollor,19699.61478,42118.27024,ORR Non-Thematic,Education – General,Advocacy,HAC-STATE OF PALESTINE,,G,73451.77596,,,Cyprus,,,,92922.89801,36015663,Sport Associations,Private Sector,,PPD,WCARO,Tajikistan,,,ECARO,9/7/2024,GREECE CO,The United Kingdom,CYP,Cyprus,G,Private,Other Resources Emergency,WASH,R4,Connecting,ECA,2024,Public
Global Thematic Programs,Private,Negotiating/Contracting,8/29/2024,Dollor,35161.73121,84050.89997,ORE-Thematic,Cross-sectoral Communication for Development,Health,Emergency/HAC,,Natcom d,61928.76958,,,Czechia,,,,56382.26036,12272686,Women's and diaspora organizations,Private Sector,,TAJIKISTAN CO,ROSA,Tajikistan,,,ECARO,8/29/2024,BULGARIA CO,Bureau for Humanitarian Assistance,CZE,Czechia,Natcom d,Bilateral,Other Resources Regular,ADAP,R5,Thriving,ECA,2024,Public
Advocacy and Policy Support,Public,Negotiating/Contracting,7/18/2024,Dollor,66536.29886,45421.83529,ORR Non-Thematic,Polio eradication,Advocacy,HAC-UKRAINE,,G,25941.131,,,Democratic People's Republic of Korea,,,,53174.36677,35731811,University/Education Org.,Private Sector,,UKRAINE CO,MENARO,Moldova,,,ECARO,7/18/2024,ALBANIA CO,The United Kingdom,PRK,Democratic People's Republic of Korea,G,Private,Other Resources Regular,ADAP,R3,Protecting,EAPRO,2022,Public
Emergency Response,Public,Initial Meetings,2/16/2024,Dollor,52874.6826,7503.006825,ORR Non-Thematic,digital workspace for visual collaboration,Advocacy,Ukraine Response,,Natcom A,31479.11337,,,Democratic Republic of the Congo,,,,11841.12293,18321951,IFI/RDB,Private Sector,,BELARUS CO,MENARO,Croatia,,,HQ,2/16/2024,CROATIA CO,African Development Bank (AfDB),COD,Democratic Republic of the Congo,Natcom A,EU,Other Resources Regular,ADAP,R4,Protecting,SSA,2024,Public
Country Programmes,Public,Secured/Won,3/27/2024,Dollor,88994.01437,7999.167368,ORR Non-Thematic,Polio eradication,Health,HAC-UKRAINE,,Natcom d,47803.94406,,,Denmark,,,,17351.59451,3985595,Corporate Foundation,Private Sector,,UK NATCOM,EAPRO,Albania,,,ECARO,3/27/2024,ROMANIA CO,World Bank - Washington D.C.,DNK,Denmark,Natcom d,Private,Other Resources Regular,Health,R4,Learning,ECA,2023,Public
Advocacy and Policy Support,Public,Negotiating/Contracting,9/2/2024,Dollor,79891.58788,22822.62205,ORR Non-Thematic,Nutrition – Overweight & Obesity,Education,Ukraine Response,,EU ECHO,96813.8519,,,Djibouti,,,,45581.24049,3737062,Women's and diaspora organizations,UNICEF NatCom/CO/Division,,CROATIA CO,EAPRO,Greece,,,ECARO,9/2/2024,ARMENIA CO,European Investment Bank,DJI,Djibouti,EU ECHO,EU,Other Resources Emergency,CP,R2,Thriving,SSA,2023,Public
Innovation and Research Grants,Private,Secured/Won,1/22/2024,Dollor,39790.90945,77332.0814,ORE-Thematic,Learning and child-friendly schools,Education,HAC-UKRAINE,,G,26451.05391,,,Dominica,,,,4153.564133,11061786,Central Government,Public Sector,,TURKIYE CO,ROSA,Cyprus,,,HQ,1/22/2024,TAJIKISTAN CO,Unilever,DMA,Dominica,G,Bilateral,Other Resources Emergency,Health,R4,Thriving,LACRO,2024,Public
Innovation and Research Grants,Public,Negotiating/Contracting,6/24/2024,Dollor,54638.76964,79269.7939,ORR Non-Thematic,WASH – General,Health,HAC-UKRAINE,,C,60009.08361,,,Dominican Republic,,,,7076.28255,39905908,Foundation,Private Sector,,GREECE CO,ECARO,Greece,,,NatCom,6/24/2024,ECARO,African Development Bank (AfDB),DOM,Dominican Republic,C,EU,Other Resources Emergency,Child Protection,R3,Protecting,LACRO,2023,Public
Partnership Funding,Private,Secured/Won,5/30/2024,Dollor,33304.34954,11481.24039,ORR Non-Thematic,Public finance and local governance,Education,Emergency/HAC,,ECHO,71259.7286,,,Ecuador,,,,13842.87418,12446976,IFI/RDB,Private Sector,,MONTENEGRO CO,ECARO,Armenia,,,ECARO,5/30/2024,KYRGYZSTAN CO,Unilever,ECU,Ecuador,ECHO,Bilateral,Other Resources Emergency,Child Protection,R3,Connecting,LACRO,2023,Public
Global Thematic Programs,Private,Secured/Won,3/17/2024,Dollor,35410.23208,45112.70821,ORR Non-Thematic,Child Protection and emergencies,Child Protection,HAC-ECARO,,G,7486.380475,,,Egypt,,,,50832.49667,28805927,IFI/RDB,UNICEF NatCom/CO/Division,,NETHERLANDS NATCOM,ROSA,Montenegro,,,HQ,3/17/2024,ROMANIA CO,African Development Bank (AfDB),EGY,Egypt,G,EU,Other Resources Regular,SP,R5,Including,MENA,2022,Public
Country Programmes,Public,Negotiating/Contracting,9/15/2024,Dollor,97041.21726,34372.85504,ORE-Thematic,Community-based management of acute malnutrition,Child Protection,Emergency/HAC,,Natcom c,6687.182526,,,El Salvador,,,,16686.64955,13317468,Women's and diaspora organizations,UNICEF NatCom/CO/Division,,TURKIYE CO,MENARO,Denmark,,,ESARO,9/15/2024,SOMALIA CO,USA (State) BPRM,SLV,El Salvador,Natcom c,Bilateral,Other Resources Regular,WASH,R4,Connecting,LACRO,2022,Public
Advocacy and Policy Support,Public,Initial Meetings,10/16/2024,Dollor,69892.76383,52103.07282,ORE-Thematic,Human rights institutions,Education,HAC-ECARO,,ECHO,44949.05669,,,Equatorial Guinea,,,,54562.2011,30250929,Ministry,Private Sector,,KOSOVO CO,ROSA,Tajikistan,,,MENARO,10/16/2024,CROATIA CO,Unilever,GNQ,Equatorial Guinea,ECHO,Bilateral,Other Resources Regular,WASH,R5,Protecting,SSA,2023,Public
Emergency Response,Public,Initial Meetings,11/13/2024,Dollor,63791.79429,82842.76932,ORR Non-Thematic,Innovation,Child Protection,HAC-STATE OF PALESTINE,,G,9636.071793,,,Eritrea,,,,9176.337579,15394949,Non-Profit/NGO Foundations,Private Sector,,QATAR CO,EAPRO,Moldova,,,MENARO,11/13/2024,MOLDOVA CO,The United Kingdom,ERI,Eritrea,G,Private,Other Resources Regular,ADAP,R5,Thriving,SSA,2024,Public
Partnership Funding,Private,Initial Meetings,1/16/2024,Dollor,62534.33323,54557.01235,ORE-Thematic,Other – including procurement services,Health,Ukraine Response,,C,24918.09932,,,Estonia,,,,61457.18002,215982,Foundation,Private Sector,,MONTENEGRO CO,WCARO,Netherlands,,,MENARO,1/16/2024,KOSOVO CO,African Development Bank (AfDB),EST,Estonia,C,EU,Other Resources Regular,Health,R4,Including,ECA,2023,Public
Emergency Response,Public,Negotiating/Contracting,1/1/2024,Dollor,60328.34198,48513.32669,ORR Non-Thematic,Human rights institutions,Increased Immunization Rates,HAC-ECARO,,ECHO,54774.3179,,,Ethiopia,,,,26982.62825,10183814,Global/Regional Multilaterals,Public Sector,,US FUND,MENARO,Tajikistan,,,ESARO,1/1/2024,TAJIKISTAN CO,European Investment Bank,ETH,Ethiopia,ECHO,Private,Other Resources Emergency,Child Protection,R2,Including,SSA,2023,Public
Innovation and Research Grants,Public,Negotiating/Contracting,9/25/2024,Dollor,79809.25037,9373.931252,Revenue Type,Hygiene,Health,Ukraine Response,,Natcom c,54028.43848,,,Fiji,,,,92751.70661,24504504,Ministry,Private Sector,,SENEGAL CO,MENARO,Netherlands,,,HQ,9/25/2024,TAJIKISTAN CO,Bill & Melinda Gates Foundation,FJI,Fiji,Natcom c,Bilateral,Other Resources Emergency,Education,R1,Connecting,EAPRO,2022,Public
Development Initiatives,Private,Secured/Won,1/10/2024,Dollor,86974.61475,99490.37168,Revenue Type,"Policy, guidance and technical support for country programming and reporting",Increased Immunization Rates,Ukraine Response,,Natcom d,73087.91263,,,Finland,,,,79094.71218,11172155,Corporate Foundation,Private Sector,,CROATIA CO,EAPRO,Denmark,,,NatCom,1/10/2024,BELARUS CO,World Bank - Washington D.C.,FIN,Finland,Natcom d,Private,Other Resources Emergency,Child Protection,R2,Thriving,ECA,2022,Public
Development Initiatives,Private,Negotiating/Contracting,10/10/2024,Dollor,78949.92922,83755.91967,ORR Non-Thematic,Private sector fundraising,Advocacy,HAC-UKRAINE,,ECHO,10375.06053,,,France,,,,34375.30779,34531933,University/Education Org.,Public Sector,,GREECE CO,MENARO,Cyprus,,,MENARO,10/10/2024,BULGARIA CO,European Investment Bank,FRA,France,ECHO,EU,Other Resources Regular,Child Protection,R5,Thriving,ECA,2022,Public
Development Initiatives,Private,Initial Meetings,11/17/2024,Dollor,33648.939,47379.85375,ORR Non-Thematic,Child Protection – strengthen families and communities,Emergency Response,Ukraine Response,,Natcom A,37432.88926,,,Gabon,,,,17679.84377,37241210,Other,Private Sector,,MONTENEGRO CO,NatCom,Serbia,,,ESARO,11/17/2024,TAJIKISTAN CO,Bureau for Humanitarian Assistance,GAB,Gabon,Natcom A,Bilateral,Other Resources Regular,Education,R2,Protecting,SSA,2024,Public
Development Initiatives,Private,Negotiating/Contracting,1/4/2024,Dollor,20733.56255,56718.22628,ORR Non-Thematic,Sanitation,Education,HAC-ARMENIA,,G,19441.27843,,,Gambia,,,,88372.74884,8345800,UN Agency/International Agency,Corporate Account,,SERBIA CO,HQ,Montenegro,,,NatCom,1/4/2024,MONTENEGRO CO,Unilever,GMB,Gambia,G,Bilateral,Other Resources Emergency,Education,R1,Including,SSA,2024,Public
Country Programmes,Public,Negotiating/Contracting,11/15/2024,Dollor,76049.84538,48620.75801,ORR Non-Thematic,Human rights institutions,Emergency Response,HAC-STATE OF PALESTINE,,ECHO,37421.12922,,,Georgia,,,,92595.87893,24776958,Sport Associations,Private Sector,,TAJIKISTAN CO,ROSA,Moldova,,,HQ,11/15/2024,BULGARIA CO,European Investment Bank,GEO,Georgia,ECHO,Private,Other Resources Emergency,SP,R4,Learning,ECA,2024,Public
Global Thematic Programs,Private,Secured/Won,2/1/2024,Dollor,61102.8406,48666.08672,Revenue Type,Nutrition and HIV,Health,Emergency/HAC,,ECHO,55795.26215,,,Germany,,,,79215.04188,27423812,Other,Private Sector,,BELARUS CO,ECARO,Japan,,,ECARO,2/1/2024,ECARO,Unilever,DEU,Germany,ECHO,Bilateral,Other Resources Emergency,Health,R3,Including,ECA,2022,Public
